(source_ip, dest_ip, source_port, dest_port, protocol),count
(10.0.5.12,192.168.8.91,80,25,tcp),1
(192.168.7.34,10.0.4.13,25,443,tcp),1
(172.16.15.8,172.16.5.24,443,68,udp),1
(192.168.0.21,10.1.7.33,68,80,tcp),1
(172.31.10.20,172.31.6.12,23,23,tcp),1
(10.0.3.9,192.168.5.67,25,25,tcp),1
(192.168.4.17,10.0.6.22,68,443,tcp),1
(172.16.8.22,172.16.9.45,80,31,udp),1
(192.168.6.43,10.1.3.56,443,68,udp),1
(172.31.2.19,172.31.8.29,23,23,tcp),1
(192.168.2.56,10.0.2.43,80,25,tcp),1
(172.16.4.30,172.16.1.31,68,80,tcp),1
(10.0.7.18,192.168.3.77,443,443,tcp),1
(192.168.1.99,10.1.4.21,68,68,udp),1
(172.31.16.139,172.31.16.21,143,22,tcp),3
(172.31.16.139,172.31.16.21,144,22,tcp),1
